Date,ZIP Code,Model Year,Fuel,Make,Duty,Vehicles,ZIP,latitude,longitude
12/31/2023,90640,2022,Battery Electric,OTHER/UNK,Light,39,90640,34.0150099,-118.1110508
12/31/2023,90026,2022,Battery Electric,HYUNDAI,Light,12,90026,34.0788503,-118.2637062
12/31/2023,90249,2024,Battery Electric,OTHER/UNK,Light,8,90249,33.9015151,-118.3170646
12/31/2023,91201,2022,Battery Electric,OTHER/UNK,Light,52,91201,34.1703805,-118.2889622
12/31/2023,90012,2022,Battery Electric,OTHER/UNK,Light,54,90012,34.0667289,-118.2388213
12/31/2023,91107,2024,Battery Electric,OTHER/UNK,Light,28,91107,34.1592511,-118.0868585
12/31/2023,90401,2023,Battery Electric,OTHER/UNK,Light,48,90401,34.0160989,-118.4924539
12/31/2023,90712,2024,Battery Electric,OTHER/UNK,Light,14,90712,33.848954,-118.1468692
12/31/2023,91107,2021,Battery Electric,OTHER/UNK,Light,56,91107,34.1592511,-118.0868585
12/31/2023,90022,2019,Battery Electric,OTHER/UNK,Light,14,90022,34.024529,-118.1560593
12/31/2023,91104,2016,Battery Electric,OTHER/UNK,Light,17,91104,34.1676428,-118.1234329
12/31/2023,90069,2018,Battery Electric,OTHER/UNK,Light,16,90069,34.0939535,-118.3815305
12/31/2023,90212,2015,Battery Electric,OTHER/UNK,Light,6,90212,34.0621605,-118.4018817
12/31/2023,90077,2021,Battery Electric,OTHER/UNK,Light,32,90077,34.1054039,-118.4559539
12/31/2023,90019,2021,Battery Electric,OTHER/UNK,Light,36,90019,34.0486264,-118.3388842
12/31/2023,91010,2021,Battery Electric,OTHER/UNK,Light,17,91010,34.1411345,-117.9591773
12/31/2023,90017,2020,Battery Electric,OTHER/UNK,Light,9,90017,34.0530983,-118.2645052
12/31/2023,91108,2020,Battery Electric,OTHER/UNK,Light,16,91108,34.1223356,-118.1135671
12/31/2023,90272,2021,Battery Electric,AUDI,Light,21,90272,34.0793554,-118.5444933
12/31/2023,90068,2021,Battery Electric,AUDI,Light,14,90068,34.1279717,-118.3290444
12/31/2023,90047,2024,Battery Electric,OTHER/UNK,Light,9,90047,33.9545377,-118.3090195
12/31/2023,91030,2024,Battery Electric,OTHER/UNK,Light,20,91030,34.1103024,-118.1574383
12/31/2023,90504,2024,Battery Electric,OTHER/UNK,Light,16,90504,33.8669375,-118.3313538
12/31/2023,91103,2021,Battery Electric,OTHER/UNK,Light,27,91103,34.1674269,-118.164447
12/31/2023,91780,2023,Battery Electric,OTHER/UNK,Light,84,91780,34.1015089,-118.0558587
12/31/2023,90623,2023,Battery Electric,OTHER/UNK,Light,78,90623,33.8503602,-118.0408728
12/31/2023,90272,2024,Battery Electric,BMW,Light,13,90272,34.0793554,-118.5444933
12/31/2023,90745,2024,Battery Electric,OTHER/UNK,Light,12,90745,33.8211807,-118.2646029
12/31/2023,91104,2015,Battery Electric,OTHER/UNK,Light,18,91104,34.1676428,-118.1234329
12/31/2023,90004,2015,Battery Electric,OTHER/UNK,Light,14,90004,34.0762187,-118.3109634
12/31/2023,90715,2024,Battery Electric,OTHER/UNK,Light,5,90715,33.8403268,-118.0788295
12/31/2023,90028,2023,Battery Electric,BMW,Light,12,90028,34.0998114,-118.3268365
12/31/2023,91731,2024,Battery Electric,OTHER/UNK,Light,8,91731,34.0791547,-118.0404903
12/31/2023,91011,2024,Battery Electric,OTHER/UNK,Light,14,91011,34.2175576,-118.2034276
12/31/2023,90015,2020,Battery Electric,OTHER/UNK,Light,5,90015,34.0393093,-118.2662548
12/31/2023,90019,2017,Battery Electric,OTHER/UNK,Light,29,90019,34.0486264,-118.3388842
